warn:i18nlangtag:1247974:1247974:i18nlangtag/source/isolang/mslangid.cxx:105: MsLangId::getConfiguredSystemLanguage() - not configured yet
warn:i18nlangtag:1247974:1247974:i18nlangtag/source/isolang/mslangid.cxx:115: MsLangId::getConfiguredSystemUILanguage() - not configured yet
warn:desktop.app:1247974:1247976:unotools/source/ucbhelper/localfilehelper.cxx:86: error removing directory file:///home/jiajun/LibreOffice/study_LiteCore/wasm_sdk_probe/build/finding-016-native/user-profile/user/extensions
warn:opencl:1247998:1247998:opencl/opencltest/main.cxx:159: OpenCL driver check failed: -54(line 159)
warn:lok:1247974:1247974:sfx2/source/view/lokhelper.cxx:1118: no explicit viewshell set
warn:lok:1247974:1247974:sfx2/source/view/lokhelper.cxx:1118: no explicit viewshell set
warn:lok:1247974:1247974:sfx2/source/view/lokhelper.cxx:1118: no explicit viewshell set
warn:lok:1247974:1247974:sfx2/source/view/lokhelper.cxx:1118: no explicit viewshell set
warn:svx.dialog:1247974:1247976:svx/source/dialog/rlrcitem.cxx:75: SvxTabStopItem expected
warn:unotools.config:1247974:1247974:unotools/source/config/configmgr.cxx:147: ConfigManager not empty
info:cppu.typelib:1247974:1247974:cppu/source/typelib/typelib.cxx:244: remaining type: com.sun.star.lang.XEventListener::disposing:@0,3:com.sun.star.util.XModifyListener; ref count = 1
info:cppu.typelib:1247974:1247974:cppu/source/typelib/typelib.cxx:244: remaining type: com.sun.star.uno.XInterface::queryInterface:@0,0:com.sun.star.lang.XEventListener:@0,0:com.sun.star.util.XModifyListener; ref count = 1
info:cppu.typelib:1247974:1247974:cppu/source/typelib/typelib.cxx:244: remaining type: com.sun.star.lang.XEventListener::disposing:@0,3:com.sun.star.beans.XPropertiesChangeListener; ref count = 1
info:cppu.typelib:1247974:1247974:cppu/source/typelib/typelib.cxx:244: remaining type: com.sun.star.uno.XInterface::queryInterface:@0,0:com.sun.star.lang.XEventListener:@0,0:com.sun.star.beans.XPropertiesChangeListener; ref count = 1
info:cppu.typelib:1247974:1247974:cppu/source/typelib/typelib.cxx:244: remaining type: com.sun.star.util.XModifyListener; ref count = 1
info:cppu.typelib:1247974:1247974:cppu/source/typelib/typelib.cxx:244: remaining type: com.sun.star.script.XPersistentLibraryContainer::storeLibraries:@0,24:com.sun.star.script.XStorageBasedLibraryContainer; ref count = 1
info:cppu.typelib:1247974:1247974:cppu/source/typelib/typelib.cxx:244: remaining type: com.sun.star.script.XPersistentLibraryContainer::ContainerLocationName:@0,23:com.sun.star.script.XStorageBasedLibraryContainer; ref count = 1
info:cppu.typelib:1247974:1247974:cppu/source/typelib/typelib.cxx:244: remaining type: com.sun.star.script.XPersistentLibraryContainer::RootLocation:@0,22:com.sun.star.script.XStorageBasedLibraryContainer; ref count = 1
info:cppu.typelib:1247974:1247974:cppu/source/typelib/typelib.cxx:244: remaining type: com.sun.star.script.XLibraryContainer2::setLibraryReadOnly:@1,20:com.sun.star.script.XPersistentLibraryContainer:@0,20:com.sun.star.script.XStorageBasedLibraryContainer; ref count = 1
info:cppu.typelib:1247974:1247974:cppu/source/typelib/typelib.cxx:244: remaining type: com.sun.star.script.XLibraryContainer2::isLibraryReadOnly:@1,19:com.sun.star.script.XPersistentLibraryContainer:@0,19:com.sun.star.script.XStorageBasedLibraryContainer; ref count = 1
info:cppu.typelib:1247974:1247974:cppu/source/typelib/typelib.cxx:244: remaining type: com.sun.star.script.XLibraryContainer2::getLibraryLinkURL:@1,18:com.sun.star.script.XPersistentLibraryContainer:@0,18:com.sun.star.script.XStorageBasedLibraryContainer; ref count = 1
